# Region type : patch inlet
# Faces  :      110
# Area   :      1.20000000e+01
# Time          	sum(phi)
0.05            	-1.20000000e+01
0.1             	-1.20000000e+01
0.15            	-1.20000000e+01
0.2             	-1.20000000e+01
0.25            	-1.20000000e+01
0.3             	-1.20000000e+01
0.35            	-1.20000000e+01
0.4             	-1.20000000e+01
0.45            	-1.20000000e+01
0.5             	-1.20000000e+01
0.55            	-1.20000000e+01
0.6             	-1.20000000e+01
0.65            	-1.20000000e+01
0.7             	-1.20000000e+01
0.75            	-1.20000000e+01
0.8             	-1.20000000e+01
0.85            	-1.20000000e+01
0.9             	-1.20000000e+01
0.95            	-1.20000000e+01
1               	-1.20000000e+01
1.05            	-1.20000000e+01
1.1             	-1.20000000e+01
1.15            	-1.20000000e+01
1.2             	-1.20000000e+01
1.25            	-1.20000000e+01
1.3             	-1.20000000e+01
1.35            	-1.20000000e+01
1.4             	-1.20000000e+01
1.45            	-1.20000000e+01
1.5             	-1.20000000e+01
1.55            	-1.20000000e+01
1.6             	-1.20000000e+01
1.65            	-1.20000000e+01
1.7             	-1.20000000e+01
1.75            	-1.20000000e+01
1.8             	-1.20000000e+01
1.85            	-1.20000000e+01
1.9             	-1.20000000e+01
1.95            	-1.20000000e+01
2               	-1.20000000e+01
2.05            	-1.20000000e+01
2.1             	-1.20000000e+01
2.15            	-1.20000000e+01
2.2             	-1.20000000e+01
2.25            	-1.20000000e+01
2.3             	-1.20000000e+01
2.35            	-1.20000000e+01
2.4             	-1.20000000e+01
2.45            	-1.20000000e+01
2.5             	-1.20000000e+01
2.55            	-1.20000000e+01
2.6             	-1.20000000e+01
2.65            	-1.20000000e+01
2.7             	-1.20000000e+01
2.75            	-1.20000000e+01
2.8             	-1.20000000e+01
2.85            	-1.20000000e+01
2.9             	-1.20000000e+01
2.95            	-1.20000000e+01
3               	-1.20000000e+01
3.05            	-1.20000000e+01
3.1             	-1.20000000e+01
3.15            	-1.20000000e+01
3.2             	-1.20000000e+01
3.25            	-1.20000000e+01
3.3             	-1.20000000e+01
3.35            	-1.20000000e+01
3.4             	-1.20000000e+01
3.45            	-1.20000000e+01
3.5             	-1.20000000e+01
3.55            	-1.20000000e+01
3.6             	-1.20000000e+01
3.65            	-1.20000000e+01
3.7             	-1.20000000e+01
3.75            	-1.20000000e+01
3.8             	-1.20000000e+01
3.85            	-1.20000000e+01
3.9             	-1.20000000e+01
3.95            	-1.20000000e+01
4               	-1.20000000e+01
4.05            	-1.20000000e+01
4.1             	-1.20000000e+01
4.15            	-1.20000000e+01
4.2             	-1.20000000e+01
4.25            	-1.20000000e+01
4.3             	-1.20000000e+01
4.35            	-1.20000000e+01
4.4             	-1.20000000e+01
4.45            	-1.20000000e+01
4.5             	-1.20000000e+01
4.55            	-1.20000000e+01
4.6             	-1.20000000e+01
4.65            	-1.20000000e+01
4.7             	-1.20000000e+01
4.75            	-1.20000000e+01
4.8             	-1.20000000e+01
4.85            	-1.20000000e+01
4.9             	-1.20000000e+01
4.95            	-1.20000000e+01
5               	-1.20000000e+01
5.05            	-1.20000000e+01
5.1             	-1.20000000e+01
5.15            	-1.20000000e+01
5.2             	-1.20000000e+01
5.25            	-1.20000000e+01
5.3             	-1.20000000e+01
5.35            	-1.20000000e+01
5.4             	-1.20000000e+01
5.45            	-1.20000000e+01
5.5             	-1.20000000e+01
5.55            	-1.20000000e+01
5.6             	-1.20000000e+01
5.65            	-1.20000000e+01
5.7             	-1.20000000e+01
5.75            	-1.20000000e+01
5.8             	-1.20000000e+01
5.85            	-1.20000000e+01
5.9             	-1.20000000e+01
5.95            	-1.20000000e+01
6               	-1.20000000e+01
6.05            	-1.20000000e+01
6.1             	-1.20000000e+01
6.15            	-1.20000000e+01
6.2             	-1.20000000e+01
6.25            	-1.20000000e+01
6.3             	-1.20000000e+01
6.35            	-1.20000000e+01
6.4             	-1.20000000e+01
6.45            	-1.20000000e+01
6.5             	-1.20000000e+01
6.55            	-1.20000000e+01
6.6             	-1.20000000e+01
6.65            	-1.20000000e+01
6.7             	-1.20000000e+01
6.75            	-1.20000000e+01
6.8             	-1.20000000e+01
6.85            	-1.20000000e+01
6.9             	-1.20000000e+01
6.95            	-1.20000000e+01
7               	-1.20000000e+01
7.05            	-1.20000000e+01
7.1             	-1.20000000e+01
7.15            	-1.20000000e+01
7.2             	-1.20000000e+01
7.25            	-1.20000000e+01
7.3             	-1.20000000e+01
7.35            	-1.20000000e+01
7.4             	-1.20000000e+01
7.45            	-1.20000000e+01
7.5             	-1.20000000e+01
7.55            	-1.20000000e+01
7.6             	-1.20000000e+01
7.65            	-1.20000000e+01
7.7             	-1.20000000e+01
7.75            	-1.20000000e+01
7.8             	-1.20000000e+01
7.85            	-1.20000000e+01
7.9             	-1.20000000e+01
7.95            	-1.20000000e+01
8               	-1.20000000e+01
8.05            	-1.20000000e+01
8.1             	-1.20000000e+01
8.15            	-1.20000000e+01
8.2             	-1.20000000e+01
8.25            	-1.20000000e+01
8.3             	-1.20000000e+01
8.35            	-1.20000000e+01
8.4             	-1.20000000e+01
8.45            	-1.20000000e+01
8.5             	-1.20000000e+01
8.55            	-1.20000000e+01
8.6             	-1.20000000e+01
8.65            	-1.20000000e+01
8.7             	-1.20000000e+01
8.75            	-1.20000000e+01
8.8             	-1.20000000e+01
8.85            	-1.20000000e+01
8.9             	-1.20000000e+01
8.95            	-1.20000000e+01
9               	-1.20000000e+01
9.05            	-1.20000000e+01
9.1             	-1.20000000e+01
9.15            	-1.20000000e+01
9.2             	-1.20000000e+01
9.25            	-1.20000000e+01
9.3             	-1.20000000e+01
9.35            	-1.20000000e+01
9.4             	-1.20000000e+01
9.45            	-1.20000000e+01
9.5             	-1.20000000e+01
9.55            	-1.20000000e+01
9.6             	-1.20000000e+01
9.65            	-1.20000000e+01
9.7             	-1.20000000e+01
9.75            	-1.20000000e+01
9.8             	-1.20000000e+01
9.85            	-1.20000000e+01
9.9             	-1.20000000e+01
9.95            	-1.20000000e+01
10              	-1.20000000e+01
10.05           	-1.20000000e+01
10.1            	-1.20000000e+01
10.15           	-1.20000000e+01
10.2            	-1.20000000e+01
10.25           	-1.20000000e+01
10.3            	-1.20000000e+01
10.35           	-1.20000000e+01
10.4            	-1.20000000e+01
10.45           	-1.20000000e+01
10.5            	-1.20000000e+01
10.55           	-1.20000000e+01
10.6            	-1.20000000e+01
10.65           	-1.20000000e+01
10.7            	-1.20000000e+01
10.75           	-1.20000000e+01
10.8            	-1.20000000e+01
10.85           	-1.20000000e+01
10.9            	-1.20000000e+01
10.95           	-1.20000000e+01
11              	-1.20000000e+01
11.05           	-1.20000000e+01
11.1            	-1.20000000e+01
11.15           	-1.20000000e+01
11.2            	-1.20000000e+01
11.25           	-1.20000000e+01
11.3            	-1.20000000e+01
11.35           	-1.20000000e+01
11.4            	-1.20000000e+01
11.45           	-1.20000000e+01
11.5            	-1.20000000e+01
11.55           	-1.20000000e+01
11.6            	-1.20000000e+01
11.65           	-1.20000000e+01
11.7            	-1.20000000e+01
11.75           	-1.20000000e+01
11.8            	-1.20000000e+01
11.85           	-1.20000000e+01
11.9            	-1.20000000e+01
11.95           	-1.20000000e+01
12              	-1.20000000e+01
12.05           	-1.20000000e+01
12.1            	-1.20000000e+01
12.15           	-1.20000000e+01
12.2            	-1.20000000e+01
12.25           	-1.20000000e+01
12.3            	-1.20000000e+01
12.35           	-1.20000000e+01
